Found 8 unique colour flow sets:

Set: 1 Seen: 10 | (501,0),(0,501),(502,0),(0,503),(503,0),(0,504),(504,502)
Set: 2 Seen: 14 | (501,0),(0,501),(502,0),(0,504),(503,0),(0,502),(504,503)
Set: 3 Seen: 1 | (502,0),(0,501),(502,0),(0,503),(503,0),(0,504),(504,501)
Set: 4 Seen: 3 | (502,0),(0,501),(502,0),(0,504),(503,0),(0,501),(504,503)
Set: 5 Seen: 8 | (503,0),(0,501),(502,0),(0,502),(503,0),(0,504),(504,501)
Set: 6 Seen: 31 | (503,0),(0,501),(502,0),(0,504),(503,0),(0,501),(504,502)
Set: 7 Seen: 18 | (504,0),(0,501),(502,0),(0,502),(503,0),(0,501),(504,503)
Set: 8 Seen: 15 | (504,0),(0,501),(502,0),(0,503),(503,0),(0,502),(504,501)
