Found 18 unique colour flow sets:

Set: 1 Seen: 3 | (0,501),(0,502),(0,501),(0,502),(503,0),(0,504),(504,503)
Set: 2 Seen: 3 | (0,501),(0,502),(0,501),(0,503),(503,0),(0,504),(504,502)
Set: 3 Seen: 6 | (0,501),(0,502),(0,501),(0,504),(503,0),(0,502),(504,503)
Set: 4 Seen: 8 | (0,501),(0,502),(0,501),(0,504),(503,0),(0,503),(504,502)
Set: 5 Seen: 3 | (0,501),(0,502),(0,502),(0,501),(503,0),(0,504),(504,503)
Set: 6 Seen: 12 | (0,501),(0,502),(0,502),(0,503),(503,0),(0,504),(504,501)
Set: 7 Seen: 10 | (0,501),(0,502),(0,502),(0,504),(503,0),(0,501),(504,503)
Set: 8 Seen: 12 | (0,501),(0,502),(0,502),(0,504),(503,0),(0,503),(504,501)
Set: 9 Seen: 5 | (0,501),(0,502),(0,503),(0,501),(503,0),(0,504),(504,502)
Set: 10 Seen: 2 | (0,501),(0,502),(0,503),(0,502),(503,0),(0,504),(504,501)
Set: 11 Seen: 3 | (0,501),(0,502),(0,503),(0,504),(503,0),(0,501),(504,502)
Set: 12 Seen: 7 | (0,501),(0,502),(0,503),(0,504),(503,0),(0,502),(504,501)
Set: 13 Seen: 3 | (0,501),(0,502),(0,504),(0,501),(503,0),(0,502),(504,503)
Set: 14 Seen: 6 | (0,501),(0,502),(0,504),(0,501),(503,0),(0,503),(504,502)
Set: 15 Seen: 5 | (0,501),(0,502),(0,504),(0,502),(503,0),(0,501),(504,503)
Set: 16 Seen: 5 | (0,501),(0,502),(0,504),(0,502),(503,0),(0,503),(504,501)
Set: 17 Seen: 2 | (0,501),(0,502),(0,504),(0,503),(503,0),(0,501),(504,502)
Set: 18 Seen: 5 | (0,501),(0,502),(0,504),(0,503),(503,0),(0,502),(504,501)
